No;Abstract;
108;"Dalam sistem informasi yang sedang berjalan di PT Manggala Gemini atau PT ON AIR namanya Radio Mom and kid's Bandung, Radio Mom and Kid's Bandung terletak di Batu Indah II No. 7 Bandung. Banyaknya pelanggaran yang sering terjadi dalam proses pembuatan menyebabkan acara tidak berjalan dengan baik. Ini mengarahkan penulis untuk membuat ""MANAJEMEN SISTEM INFORMASI DI IBU DAN RADIO BANDUNG KID PADA PT DIVISI OFFAIR BERBASIS WEB "". Jika tidak ditangani dengan benar itu akan merugikan mempengaruhi Perusahaan PT Manggala Gemini. Metode yang digunakan oleh penulis untuk menyelesaikan masalah adalah dengan menggunakan deskriptif metode penelitian. Metode ini sangat baik untuk digunakan dalam memecahkan masalah. karena metode ini mempelajari masalah - masalah yang ada dalam ruang lingkup dalam komunitas dan belajar tentang situasi - situasi spesifik yang dihadapi dalam masyarakat dan dalam perusahaan itu sendiri.";
109;Klinik Asri Husada 1 adalah salah satu lembaga kesehatan yang berlokasi di Bandung dengan berbagai jenis layanan yang ditangani. Klinik ini adalah salah satu Klinik yang menerima BPJS fasilitas kesehatan. Sistem pelayanan kesehatan di klinik Asri Husada 1 masih menggunakan sistem manual dan tidak menggunakan sistem terintegrasi. Jadi ada masalah dalam sistem yang berjalan seperti pada proses pendaftaran, pencarian data, rekam medis pasien, dan manajemen obat. Karena itu perlu untuk penerapan teknologi komputer dalam meningkatkan perawatan kesehatan pasien. Itu tujuan melakukan penelitian ini untuk merancang dan mengimplementasikan sistem informasi yang diusulkan secara berurutan untuk mengatasi masalah yang ada di klinik Asri Husada 1. Metode sistem pendekatan yang digunakan oleh pendekatan berorientasi objek, dan untuk sistem metode pengembangan menggunakan prototipe model sambil mendukung alat analisis dan desain menggunakan UML (Unifield Model Language). Dan untuk mendukung desain dan implementasi perangkat lunak yang digunakan, yaitu Notepad ++ dan instalasi Xampp (php, apache web server dan Database Mysql). Dengan masalah yang ada dan menerapkan sistem informasi perawatan kesehatan pasien ini, diharapkan dapat meningkatkan kinerja karyawan dan layanan proses di Klinik Asri Husada 1.;
110;PT. Len Industri adalah salah satu dari banyak institusi yang menggunakan teknologi informasi di Indonesia melaksanakan kegiatan operasi mereka. Sistem Informasi Pendidikan dan Pelatihan dibuat mudah bagi karyawan untuk mengelola data dan memberikan informasi tentang pendidikan dan pelatihan untuk karyawan perusahaan. Perancangan Sistem Informasi Pendidikan dan Pelatihan di PT. Len Industri dilakukan untuk melengkapi fitur-fitur yang tidak ada pada yang sudah ada sistem. Sistem dikembangkan untuk memudahkan karyawan mengakses dan memproses data dalam satu aplikasi terpusat. Dalam tulisan ini, metode penelitian yang digunakan adalah metode penelitian deskriptif. Data Metode pengumpulan yang digunakan adalah dengan teknik observasi dan wawancara. Sedangkan metode pengembangan sistem menggunakan metode prototipe. Alat desain sistem menggunakan Unified Modeling Bahasa (UML) dalam bentuk: use diagram diagram, diagram aktivitas, urutan diagram, diagram kelas, diagram objek, diagram komponen, dan penyebaran diagram. Perancangan Sistem Informasi Pendidikan dan Pelatihan menggunakan NetBeans IDE 8.0 sebagai kerangka kerjanya dan MySQL sebagai databasenya. Dengan implementasi Perancangan Informasi Pendidikan dan Pelatihan Sistem diharapkan dapat mendukung kebutuhan Divisi Pendidikan dan Pelatihan di Indonesia mendukung kegiatan operasinya lebih efektif dan efisien dibandingkan dengan sistem berjalan sekarang.;
111;International Women University (IWU) adalah universitas berkembang di Bandung yang ahli dalam bidang teknologi. Program mereka untuk unggul adalah dengan memasukkan bantuan bahasa (Korea dan Inggris), kewirausahaan, dan dasar-dasar TI untuk setiap kursus yang diambil oleh siswa. Aspek-aspek itulah yang kemudian membawa IWU tentang beberapa kemitraan dengan beberapa universitas lokal dan internasional. Karena ada cukup banyak pertanyaan dan pendaftaran yang akan datang tahun-tahun terakhir, optimasi pada bidang akademik layanan harus ditingkatkan dengan baik untuk menjangkau lebih banyak calon siswa dan respons positif dari masyarakat. Beberapa masalah muncul saat musim pendaftaran yang tinggi, salah satunya adalah jalur yang luas siswa melakukan bimbingan dalam setiap kesempatan perubahan semester. Kasus lain adalah ketika minggu pertama semester ditunda karena masih ada beberapa siswa yang harus menjaga bimbingan mereka yang mungkin menyebabkan keterlambatan jadwal kuliah. Selain masalah bimbingan dan jadwal, tampaknya sulit bagi staf akademik untuk melakukannya lakukan penilaian pada akhir semester karena banyak data dan file yang berlebihan. Sesuai dengan permasalahan di atas, sistem informasi akademik ini dapat dilanjutkan bimbingan online, penjadwalan sistemik, dan penilaian siswa dengan transkrip sebagai output. Metode yang digunakan untuk pengembangan sistem adalah prototipe, sedangkan perangkat lunak yang digunakan untuk penelitian ini adalah PHP dengan Codeigniter kerangka kerja dan MySQL sebagai basis data.;
112;"Sekolah Menengah Gerehu terletak di ibu kota Papua Papua, Port Moresby. Itu adalah salah satu dari beberapa sekolah menengah dengan jumlah besar siswa mendaftar setiap tahun. Dalam kebanyakan kasus, siswa mengalami absensi karena untuk beberapa alasan pribadi yang mengakibatkan kinerja akademis yang buruk karena Kehadiran sangat penting dalam setiap siswa di mana absen tunggal adalah besar perbedaan di sekolah. Kami masih menggunakan cara tradisional memberi tahu orang tua dan menghasilkan kartu laporan yang dalam beberapa kasus memerlukan waktu dan orang tua tidak dapat bertemu. Untuk memfasilitasi dan menyederhanakan tindakan ini, salah satu alat utama adalah memiliki sistem manajemen sekolah otomatis tersedia untuk Sekolah Menengah Gerehu. Itu Sistem Pemantauan Siswa (SMS) berbasis web dari Sekolah Menengah Gerehu diusulkan oleh peneliti pada dasarnya adalah untuk memantau absensi dan perilaku siswa di sekolah. Sistem ini adalah sistem berbasis web yang dibangun di atas platform yang berorientasi objek dan menggunakan bahasa pemodelan terpadu (UML). Harapan dari sistem ini adalah untuk memungkinkan para pemangku kepentingan seperti; administrasi, orang tua dan komunitas sekolah untuk melihat secara online laporan kehadiran calon siswa menggunakan browser Web untuk memungkinkan mereka membuat keputusan yang paling tepat.";
113;"Penelitian ini berjudul ""Penerapan Inovasi Birokrasi Pada Layanan Publik oleh e-Desa di Desa Sindanglaya, Kecamatan Cipanas, Cianjur ?. Identifikasi masalah dalam penelitian ini adalah Bagaimana Aplikasi e-Desa sebagai Inovasi Birokrasi terhadap Layanan Publik di PT Desa Sindanglaya, Kecamatan Cipanas, Cianjur ?. Tujuan dari penelitian ini adalah untuk memfasilitasi set peralatan Desa melalui e-Desa dalam menyediakan layanan publik. Dalam penelitian ini, peneliti menggunakan metode analisis berorientasi data terstruktur. Metode digunakan dalam ukuran desain ini akan dijelaskan dalam flowmap dokumenter, diagram konteks, diagram alir data, dan kamus data. Metode pengembangan sistem, air terjun, digunakan untuk mengembangkan sistem sebelumnya yang memiliki plot yang layak secara berurutan. Perangkat lunak yang digunakan adalah Dreamweaver, XAMPP, dan Google Chrome. Hasil penelitian menunjukkan bahwa jenis layanan publik melalui teknologi sistem informasi adalah aplikasi e-Desa yang memanfaatkan jaringan internet untuk memfasilitasi desa kepala dan sekretaris kinerja desa. Aplikasi e-Desa ini untuk meningkatkan kualitas Sumber Daya Aparatur Desa yang meliputi peningkatan akuntabilitas, kapasitas, transparansi, dan partisipasi banyak pihak. Selanjutnya, aplikasi e-Desa dapat membuat sistem kerja Perangkat Desa sederhana, tetapi tidak menyimpang dari tugas dasar Perangkat Desa dan lebih menghemat biaya dalam memberikan layanan.";
114;Penyewaan studio musik adalah badan usaha jasa yang bergerak di bidang studio musik persewaan. Studio rental sistem informasi di Pieces Music Studio belum dinilai secara efektif di mana dalam pencatatan data dan penjadwalan data transaksi sewa adalah masih tercatat dalam pembukuan sehingga mudah rusak atau hilang dan pembuatan laporannya a lama. Tujuan dari penelitian ini adalah untuk menentukan sistem yang sedang berjalan, membuat desain sistem, analisis dan sistem pengujian dan untuk mengimplementasikan penyewaan dan penjadwalan studio berbasis web sistem Informasi. Penelitian ini bermanfaat untuk membangun sewa studio dan berbasis web sistem informasi penjadwalan di Pieces Music Studio. Metode yang digunakan metode deskriptif dan metode pengembangan menggunakan prototipe metodologi sistem. Alat untuk analisis dan desain sistem yang akan dibangun adalah dengan a pendekatan struktur sebagai Diagram Conteks, Flowmap, DFD, Table Relation, ERD. Dalam pengembangan sistem penyewaan studio dan penjadwalan informasi berbasis web didukung menggunakan perangkat lunak Dreamweaver untuk merancang situs web dan MySQL untuk manajemen basis data. Hasil dari penelitian di Pieces Music Studio dapat dibuat kesimpulan bahwa dengan pembangunan sistem informasi penyewaan dan penjadwalan diharapkan dapat membantu karyawan dalam mengelola data setoran, data sewa dan penjadwalan lebih cepat dan dapat mengurangi kesalahan dalam proses perekaman data dan mengurangi kesalahan dalam membuat laporan di Pieces Music Studio.;
115;Be-Smart adalah salah satu agen bimbingan belajar di kota Bandung. Banyak siswa yang ingin bergabung di sana tetapi Be-Smart sepertinya tidak cukup siap untuk mengelola data siswa. Karena Be-Smart masih menggunakan data manual dengan banyak kertas bukan teknologi komputer. Berdasarkan pada kasus ini, membuat Be-Smart mengalami masalah dalam hal administrasi dan Be-Smart membutuhkan sistem informasi untuk mengelola formulir pendaftaran siswa, penjadwalan dan pembayaran metode. Metode yang digunakan dalam penelitian ini adalah metode pendekatan berorientasi objek dan pengembangan sistem dengan model prototipe. Desain penelitian menggunakan metode deskriptif. Metode pengumpulan data yaitu menggunakan teknik wawancara dan observasi. Desain sistem alat yang digunakan untuk menggambarkan model sistem termasuk diagram use case, use case skenario, diagram aktivitas, diagram urutan, diagram kelas, diagram objek, komponen diagram dan diagram pekerjaan. Bahasa pemrograman dan perangkat lunak yang digunakan adalah Netbeans dengan MySQL sebagai databasenya. Administrasi sistem informasi di Be-Smart diharapkan dapat memfasilitasi kelancaran operasi Lembaga dalam mempercepat pemrosesan data pendaftaran, pembayaran, penjadwalan, penyederhanaan melaporkan dan mengurangi pekerjaan dengan proses manual.;
116;CV.Kabita Informatika atau Kabita Informatika adalah salah satu dari sekian banyak perangkat lunak Perusahaan. kabita informatika adalah perusahaan pemula yang bergerak di bidang pembangunan perangkat lunak mobile dan web, perusahaan ini berlokasi di Bandung, walaupun kabita informatika bergerak dalam membangun perangkat lunak, masih ada sesuatu yang dilakukan manual dalam manajemen karyawan itu perekrutan, kehadiran dan pembayaran gaji. Tujuan dari penelitian ini adalah untuk membuat suatu sistem informasi yang dapat menyederhanakan kinerja manajemen karyawan perusahaan. Metode penelitian yang digunakan yaitu metode penelitian deskriptif. Pendekatan sistem Metode yang digunakan adalah pendekatan berorientasi objek yang menggunakan beberapa alat teknik konstruksi  seperti usecase, usecase text, diagram activiti, sequence, dan lain-lain, model pengembangan sistem yang digunakan adalah prototipe model, dan dalam membuat aplikasi situs web ini, penulis menggunakan php dan mysql sebagai bahasa pemrograman dan basis data. Sebagai hasil yang ingin dicapai dalam penelitian ini, penulis berharap sistem ini dapat menyederhanakan kegiatan manajemen karyawan, khususnya perekrutan, kehadiran dan gaji pembayaran.;
117;PT.Rumah Jauh Ent merupakan sebuah Perusahaan yang bergerak di bidang Entertain seperti Even organizer yang memiliki bidang administrasi yang bertugas untuk mengolah seluruh keuangan perusahaan yang terdiri dari Pemasukan, Pengeluaran perusahaan pada saat event dan Penyusunan laporan Event yang terdiri dari event yang sudah dilakukan ataupun yang akan dilakukan. Bidang Administrasi yang selama ini masih menggunakan pengolahan data yang masih manual menyebabkan kesulitan dalam Pengecekan laporan keuangan dan laporan event karena terdaapat di beberapa berkas perusahaan. Maka dari itu untuk mengatasi permasalahan tersebut dibutuhkan suatu Sistem Informasi yang baru untuk mengatasi permasalahan tersebut. Sistem Informasi berbasis desktop ini dibuat berdasarkan kebutuhan yang disesuaikan dengan sistem sebelumnya. Metode penelitian yang digunakan peneliti yaitu menggunakan metode pendekatan terstruktur dan metode pengembangan prototype. Desain penelitian yang digunakan metode deskriptif dan metode tindakan. Untuk pengumpulan data menggunakan metode observasi, wawancara dan dokumentasi. Tool yang diguunakan untuk menggambarkan sistem yang berjalan yaitu usecase diagram, activity diagram, sequence diagram, class diagram, deployment diagram. Dalam pembangunan sistem ini menggunakan bahasa pemograman java NetBeans dan Mysql sebagai database. Sistem yang diusulkan ini dapat membantu pengolahan administrasi keuangan di PT.Rumah Jauh Ent, sehingga masalah yang ada dapat diselesaikan dengan baik. Saran bagi peneliti selanjutnya dapat menyempurnakan kekurangan sistem ini.;
118;Dengan semakin cepatnya perubahan lingkungan bisnis pekerjaan secara manual bisa memyebabkan penyajian informasi berjalan lambat dan membutuhkan waktu yang cukup lama. Penyajian laporan dari administrasi yang format pembuatan laporanya belum ditentukan oleh manajemen, sehingga format untuk pembuatan laporan bisa berubah-ubah menyulitkan manajemen sulit untuk menentukan keputusan, maka bantuan aplikasi khusunya aplikasi yang mendukung aktivitas perusahaan sangat diperlukan untuk menjamin keakuratan data dalam rangka optimalisasi kinerja perusahaan terutama dalam administrasi piutang usaha. Oleh karenanya dipandang perlu untuk membangun aplikasi yang bisa membantu manajemen mengambil keputusan operasional perusahaan. Pada kesempatan ini penulis tertarik untuk melakukan penelitian untuk skripsi dengan judul ?PERANCANGAN PERANGKAT LUNAK PIUTANG USAHA DI PT.SAMUDRA APLIKASI INDONESIA BERBASIS WEB?. Dalam pengumpulan data penulis melakukan wawancara langsung kepada bagian administrasi keuangan serta melakukan observasi langsung. Metode pendekatan sistem yang penulis gunakan adalah pendekatan berorientasi objek (OOP), dimana pendekatan dapat membantu dalam mengembangkan sistem yang akan dibuat dan dengan menerapkan pengembangan system dengan metode prototyping dan menggunakan alat bantu Unified Modeling Language (UML) seperti use case, skenario, aktivity diagram, sequence diagram, class diagram, object diagram dengan bahasa pemograman PHP dan perancangan basis data menggunakan bahasa SQL dengan menggunakan aplikasi MySQL. Dengan begitu penulis mengharapkan dengan adanya aplikasi, dapat membantu perusahaan dalam membangun perangkat lunak yang dapat meminimalisir kemungkinan kehilangan data yang disebabkan oleh kehilangan atau kerusakan dokumen dan penyajian laporan dari administrasi yang format pembuatan laporanya sudah ditentukan, maka dalam pembuatan laporan formatnya tidak bisa berubah.;
